timestamp,open,high,low,close,volume
2025-03-28 06:00:00,1.26440000,1.27510000,1.25130000,1.26170000,52045.42000000
2025-03-28 07:00:00,1.26250000,1.27440000,1.24230000,1.27440000,99552.68000000
2025-03-28 08:00:00,1.27520000,1.32150000,1.27180000,1.30220000,188506.11000000
2025-03-28 09:00:00,1.30360000,1.33870000,1.29230000,1.31380000,200235.23000000
2025-03-28 10:00:00,1.31330000,1.33900000,1.30410000,1.32440000,163139.58000000
2025-03-28 11:00:00,1.32420000,1.33570000,1.30660000,1.32680000,172921.10000000
2025-03-28 12:00:00,1.32560000,1.35850000,1.31360000,1.33570000,189293.38000000
2025-03-28 13:00:00,1.33770000,1.35160000,1.31170000,1.33230000,184166.25000000
2025-03-28 14:00:00,1.33070000,1.34660000,1.31800000,1.33510000,76846.41000000
2025-03-28 15:00:00,1.33490000,1.35420000,1.32390000,1.35130000,116154.96000000
2025-03-28 16:00:00,1.34990000,1.35730000,1.31940000,1.32680000,141509.39000000
2025-03-28 17:00:00,1.32650000,1.34830000,1.32130000,1.34330000,94052.83000000
2025-03-28 18:00:00,1.34390000,1.35750000,1.34060000,1.34520000,71650.34000000
2025-03-28 19:00:00,1.34390000,1.35110000,1.33440000,1.34200000,74002.20000000
2025-03-28 20:00:00,1.34110000,1.35260000,1.32630000,1.32630000,40850.82000000
2025-03-28 21:00:00,1.32740000,1.34600000,1.32660000,1.33110000,36451.15000000
2025-03-28 22:00:00,1.33150000,1.33690000,1.31100000,1.31210000,52102.77000000
2025-03-28 23:00:00,1.31650000,1.32510000,1.30260000,1.31600000,64546.29000000
2025-03-29 00:00:00,1.31630000,1.34850000,1.26720000,1.26870000,160133.74000000
2025-03-29 01:00:00,1.26500000,1.31680000,1.25690000,1.29600000,179222.12000000
2025-03-29 02:00:00,1.29510000,1.39190000,1.29430000,1.35990000,207740.12000000
2025-03-29 03:00:00,1.35950000,1.37350000,1.33190000,1.35800000,121208.61000000
2025-03-29 04:00:00,1.35700000,1.41920000,1.34330000,1.41020000,240392.51000000
2025-03-29 05:00:00,1.41070000,1.42740000,1.39400000,1.40220000,202624.20000000
2025-03-29 06:00:00,1.40360000,1.42590000,1.39490000,1.40600000,182360.55000000
2025-03-29 07:00:00,1.40800000,1.42870000,1.37310000,1.39870000,183984.14000000
2025-03-29 08:00:00,1.39760000,1.42240000,1.38910000,1.40500000,171251.22000000
2025-03-29 09:00:00,1.40520000,1.40710000,1.36290000,1.36560000,146597.17000000
2025-03-29 10:00:00,1.36610000,1.40520000,1.35060000,1.38840000,157839.86000000
2025-03-29 11:00:00,1.39020000,1.41150000,1.38280000,1.39820000,89963.87000000
2025-03-29 12:00:00,1.39730000,1.42290000,1.38510000,1.42210000,147720.70000000
2025-03-29 13:00:00,1.42230000,1.44940000,1.38830000,1.40340000,188395.93000000
2025-03-29 14:00:00,1.40380000,1.41380000,1.38810000,1.40830000,102614.77000000
2025-03-29 15:00:00,1.41210000,1.43000000,1.40790000,1.42370000,117769.65000000
2025-03-29 16:00:00,1.42470000,1.43590000,1.40340000,1.41070000,75369.51000000
2025-03-29 17:00:00,1.41370000,1.46610000,1.41300000,1.45780000,217055.34000000
2025-03-29 18:00:00,1.45710000,1.47790000,1.44530000,1.45360000,169257.16000000
2025-03-29 19:00:00,1.45340000,1.47340000,1.45190000,1.46680000,57898.89000000
2025-03-29 20:00:00,1.46780000,1.47000000,1.43810000,1.44380000,54885.67000000
2025-03-29 21:00:00,1.44690000,1.45630000,1.42780000,1.45330000,95428.92000000
2025-03-29 22:00:00,1.45330000,1.45920000,1.43560000,1.45010000,84257.46000000
2025-03-29 23:00:00,1.44830000,1.44830000,1.41550000,1.42660000,63241.18000000
2025-03-30 00:00:00,1.42560000,1.46090000,1.40810000,1.41800000,136821.25000000
2025-03-30 01:00:00,1.41680000,1.43200000,1.38680000,1.39130000,125835.98000000
2025-03-30 02:00:00,1.38830000,1.42330000,1.38630000,1.41010000,76228.74000000
2025-03-30 03:00:00,1.41420000,1.41660000,1.39460000,1.40790000,41282.69000000
2025-03-30 04:00:00,1.40790000,1.42290000,1.38770000,1.38800000,68003.79000000
2025-03-30 05:00:00,1.38900000,1.40890000,1.38010000,1.39810000,48208.29000000
2025-03-30 06:00:00,1.39770000,1.40730000,1.38340000,1.39580000,44174.91000000
2025-03-30 07:00:00,1.39270000,1.41750000,1.38620000,1.41210000,42540.03000000
2025-03-30 08:00:00,1.41230000,1.44550000,1.41150000,1.43260000,106526.24000000
2025-03-30 09:00:00,1.43210000,1.49950000,1.43180000,1.48000000,148120.79000000
2025-03-30 10:00:00,1.47790000,1.48240000,1.36440000,1.41720000,386155.80000000
2025-03-30 11:00:00,1.41790000,1.43770000,1.39850000,1.40090000,48196.82000000
2025-03-30 12:00:00,1.40080000,1.42950000,1.39210000,1.41790000,70588.54000000
2025-03-30 13:00:00,1.42180000,1.53000000,1.42130000,1.50020000,378138.47000000
2025-03-30 14:00:00,1.50140000,1.50780000,1.46100000,1.47350000,240993.03000000
2025-03-30 15:00:00,1.47030000,1.49940000,1.46790000,1.49730000,132531.52000000
2025-03-30 16:00:00,1.49730000,1.53530000,1.48680000,1.50100000,156075.82000000
2025-03-30 17:00:00,1.50150000,1.55180000,1.49870000,1.54040000,163142.18000000
2025-03-30 18:00:00,1.54020000,1.57000000,1.53980000,1.54360000,229842.06000000
2025-03-30 19:00:00,1.54330000,1.57000000,1.54120000,1.54440000,99153.20000000
2025-03-30 20:00:00,1.54000000,1.55280000,1.51560000,1.52180000,85928.71000000
2025-03-30 21:00:00,1.52060000,1.53220000,1.46260000,1.46470000,159684.49000000
2025-03-30 22:00:00,1.46680000,1.49930000,1.45590000,1.48740000,101142.53000000
2025-03-30 23:00:00,1.48840000,1.49400000,1.46850000,1.47670000,102254.30000000
2025-03-31 00:00:00,1.47790000,1.49780000,1.43870000,1.45620000,164832.19000000
2025-03-31 01:00:00,1.45940000,1.49390000,1.45270000,1.47570000,87683.28000000
2025-03-31 02:00:00,1.47470000,1.48920000,1.44600000,1.44690000,63470.65000000
2025-03-31 03:00:00,1.44690000,1.44970000,1.40560000,1.41210000,96204.06000000
2025-03-31 04:00:00,1.41110000,1.43970000,1.40510000,1.42040000,161705.56000000
2025-03-31 05:00:00,1.41830000,1.44590000,1.40630000,1.41530000,109450.51000000
2025-03-31 06:00:00,1.41430000,1.42780000,1.39000000,1.39650000,84537.03000000
2025-03-31 07:00:00,1.39600000,1.41280000,1.37790000,1.38740000,105574.64000000
2025-03-31 08:00:00,1.38770000,1.39800000,1.35570000,1.36030000,161598.59000000
2025-03-31 09:00:00,1.36270000,1.36450000,1.30670000,1.33100000,181702.26000000
2025-03-31 10:00:00,1.33380000,1.35040000,1.31330000,1.34530000,102153.15000000
2025-03-31 11:00:00,1.34550000,1.37420000,1.33950000,1.36670000,82793.96000000
2025-03-31 12:00:00,1.36600000,1.37980000,1.33590000,1.35560000,114268.83000000
2025-03-31 13:00:00,1.35560000,1.36670000,1.33080000,1.34970000,77656.20000000
2025-03-31 14:00:00,1.35150000,1.37770000,1.34150000,1.34960000,88614.15000000
2025-03-31 15:00:00,1.34910000,1.36620000,1.34510000,1.36060000,55983.49000000
2025-03-31 16:00:00,1.36180000,1.36360000,1.34000000,1.34000000,56693.63000000
2025-03-31 17:00:00,1.34010000,1.37270000,1.33840000,1.36190000,39090.18000000
2025-03-31 18:00:00,1.36190000,1.36910000,1.35300000,1.36430000,30011.76000000
2025-03-31 19:00:00,1.36280000,1.36480000,1.34500000,1.35250000,24949.84000000
